1456045336.402854, /muse/acc, 1996.09692383, 1996.09692383, -718.751098633
1456045336.407858, /muse/acc, 1410.15844727, 1652.34631348, -699.219848633
1456045336.407957, /muse/acc, 531.250854492, 242.18788147, 273.437927246
1456045336.408051, /muse/acc, -82.0313796997, -695.313598633, -3.90625619888
1456045336.408096, /muse/acc, -320.312988281, -1687.50268555, 289.062957764
1456045336.409834, /muse/acc, -757.813659668, -2000.00317383, -351.563049316
1456045336.409983, /muse/acc, -710.938598633, -1968.75305176, -902.345153809
1456045336.410091, /muse/acc, -656.251037598, -441.406951904, 89.8438873291
1456045336.529557, /muse/acc, 136.718963623, 1531.25244141, 1019.53283691
1456045336.529718, /muse/acc, 1511.72106934, 1996.09692383, 97.6564025879
1456045336.529785, /muse/acc, 1988.28430176, 1996.09692383, -292.969207764
1456045336.529976, /muse/acc, 1101.56420898, 1417.97094727, 54.6875839233
1456045336.534272, /muse/acc, 582.032165527, 636.719726562, 15.6250247955
1456045336.534393, /muse/acc, 464.844482422, 628.907226562, -246.09413147
1456045336.648366, /muse/acc, -101.562660217, -15.6250247955, -74.2188644409
1456045336.648480, /muse/acc, -750.001159668, -1671.87756348, 683.594848633
1456045336.652943, /muse/acc, -1253.90820312, -2000.00317383, -636.719726562
1456045336.653229, /muse/acc, -1082.03295898, -1699.22143555, -804.688781738
1456045336.653353, /muse/acc, -894.532653809, 27.3437919617, 699.219848633
1456045336.654931, /muse/acc, 42.9688186646, 1640.62756348, 941.407714844
1456045336.655036, /muse/acc, 1757.81530762, 1996.09692383, -328.125518799
1456045336.772511, /muse/acc, 1996.09692383, 1996.09692383, -871.095092773
1456045336.772626, /muse/acc, 773.438720703, 1878.90917969, -42.9688186646
1456045336.777593, /muse/acc, -531.250854492, 632.813476562, 500.000793457
1456045336.777876, /muse/acc, -800.782531738, -457.031951904, 527.344604492
1456045336.777924, /muse/acc, -1484.37731934, -1839.84667969, -128.906448364
1456045336.777965, /muse/acc, -1460.93981934, -2000.00317383, -1144.53308105
1456045336.901625, /muse/acc, -1671.87756348, -1707.03393555, -277.344177246
1456045336.901805, /muse/acc, -820.313781738, 394.531860352, 402.344390869
1456045336.901923, /muse/acc, 441.406951904, 1996.09692383, 953.126464844
1456045336.901968, /muse/acc, 1968.75305176, 1996.09692383, -1101.56420898
1456045336.903989, /muse/acc, 1781.25280762, 1996.09692383, -871.095092773
1456045336.904083, /muse/acc, 660.157287598, 1363.2833252, 54.6875839233
1456045336.947589, /muse/acc, 386.719360352, 398.438110352, 242.18788147
1456045336.952370, /muse/acc, 42.9688186646, -488.282012939, 113.281425476
1456045336.952541, /muse/acc, -574.219665527, -1656.25256348, 156.250244141
1456045336.997682, /muse/acc, -921.876464844, -2000.00317383, -753.907409668
1456045336.997876, /muse/acc, 23.4375362396, -1386.72094727, -750.001159668
1456045337.022578, /muse/acc, -11.7187681198, 328.125518799, -62.5000991821
1456045337.129815, /muse/acc, 816.407531738, 1015.62658691, -695.313598633
1456045337.129879, /muse/acc, 1617.19006348, 1628.90881348, -750.001159668
1456045337.129923, /muse/acc, 1953.12805176, 1996.09692383, -210.937835693
1456045337.133979, /muse/acc, 1375.00219727, 1683.59643555, -78.1251220703
1456045337.134172, /muse/acc, 457.031951904, 464.844482422, -125.000198364
1456045337.249740, /muse/acc, -175.781524658, -1324.2208252, -207.031570435
1456045337.251459, /muse/acc, -609.375976562, -2000.00317383, -785.157470703
1456045337.251564, /muse/acc, -42.9688186646, -1566.40869141, -957.032775879
1456045337.251634, /muse/acc, 156.250244141, -82.0313796997, -519.532043457
1456045337.251731, /muse/acc, 371.094329834, 691.407348633, -890.626403809
1456045337.256048, /muse/acc, 1578.12744141, 1390.62719727, -425.781921387
1456045337.256288, /muse/acc, 1960.94055176, 1917.97180176, 347.656799316
1456045337.328523, /muse/acc, 1769.53405762, 1738.28393555, 1046.87658691
1456045337.328584, /muse/acc, 753.907409668, 179.687774658, 93.7501449585
1456045337.333215, /muse/acc, -792.969970703, -1503.90856934, -386.719360352
1456045337.333294, /muse/acc, -1007.81408691, -2000.00317383, -1960.94055176
1456045337.452578, /muse/acc, -1332.0333252, -1347.6583252, -1312.5020752
1456045337.452696, /muse/acc, -816.407531738, 425.781921387, -203.125320435
1456045337.457289, /muse/acc, -339.844268799, 1820.31530762, -19.5312805176
1456045337.457331, /muse/acc, 1148.43933105, 1996.09692383, 144.531478882
1456045337.457451, /muse/acc, 1996.09692383, 1996.09692383, -89.8438873291
1456045337.459185, /muse/acc, 675.782287598, 1996.09692383, 210.937835693
1456045337.459316, /muse/acc, -1140.62683105, 1742.19018555, -35.1563034058
1456045337.545433, /muse/acc, -1617.19006348, 31.2500495911, -531.250854492
1456045337.545518, /muse/acc, -1585.93994141, -1769.53405762, -753.907409668
1456045337.550252, /muse/acc, -1406.25219727, -2000.00317383, -691.407348633
1456045337.668404, /muse/acc, -1593.75244141, -1988.28430176, -320.312988281
1456045337.668631, /muse/acc, -1667.97131348, -125.000198364, 140.625213623
1456045337.668966, /muse/acc, -738.282409668, 1957.03430176, 906.251403809
1456045337.673660, /muse/acc, 1089.84545898, 1996.09692383, 726.563659668
1456045337.673740, /muse/acc, 1996.09692383, 1996.09692383, 488.282012939
1456045337.673782, /muse/acc, 640.625976562, 1996.09692383, 398.438110352
1456045337.800394, /muse/acc, -859.376342773, 1828.12780762, 328.125518799
1456045337.800574, /muse/acc, -1304.6895752, 222.656600952, -972.657775879
1456045337.800894, /muse/acc, -1699.22143555, -1507.81481934, -253.906646729
